
--- NEW ENGINE RUN: 2026-01-14 15:29:32 (Target: 서울 강남구, Count: 5) ---
2026-01-15 11:12:31,511 - INFO - Successfully saved shop to Firebase: 프롬미 강남본점
2026-01-15 11:12:31,511 - INFO - ✅ Firebase Saved: 프롬미 강남본점
2026-01-15 11:12:31,511 - INFO - Progress: 4/10
2026-01-15 11:12:36,923 - INFO - 🔍 Visiting detail page: 이미지수10
2026-01-15 11:12:42,207 - INFO - Firebase Firestore initialized successfully
2026-01-15 11:12:42,330 - INFO - Successfully saved shop to Firebase: 미니쉬 발몽스파 압구정로데오점
2026-01-15 11:12:42,330 - INFO - ✅ Firebase Saved: 미니쉬 발몽스파 압구정로데오점
2026-01-15 11:12:42,330 - INFO - Progress: 5/10
2026-01-15 11:12:48,539 - INFO - 🔍 Visiting detail page: 이미지수81
2026-01-15 11:13:00,657 - INFO - Firebase Firestore initialized successfully
2026-01-15 11:13:00,802 - INFO - Successfully saved shop to Firebase: 온에스테틱 선릉점
2026-01-15 11:13:00,802 - INFO - ✅ Firebase Saved: 온에스테틱 선릉점
2026-01-15 11:13:00,802 - INFO - Progress: 6/10
2026-01-15 11:13:05,012 - INFO - 🔍 Visiting detail page: 이미지수12
2026-01-15 11:13:09,973 - INFO - Firebase Firestore initialized successfully
2026-01-15 11:13:10,073 - INFO - Successfully saved shop to Firebase: 미르테 바이 혜정
2026-01-15 11:13:10,074 - INFO - ✅ Firebase Saved: 미르테 바이 혜정
2026-01-15 11:13:10,074 - INFO - Progress: 7/10
2026-01-15 11:13:16,142 - INFO - 🔍 Visiting detail page: 이미지수10
2026-01-15 11:13:23,248 - INFO - Firebase Firestore initialized successfully
2026-01-15 11:13:23,967 - INFO - Successfully saved shop to Firebase: 더록시 논현점
2026-01-15 11:13:23,967 - INFO - ✅ Firebase Saved: 더록시 논현점
2026-01-15 11:13:23,967 - INFO - Progress: 8/10
2026-01-15 11:13:29,743 - INFO - 🔍 Visiting detail page: 이미지수67
2026-01-15 11:13:41,305 - INFO - Firebase Firestore initialized successfully
2026-01-15 11:13:41,407 - INFO - Successfully saved shop to Firebase: 온에스테틱 압구정점
2026-01-15 11:13:41,408 - INFO - ✅ Firebase Saved: 온에스테틱 압구정점
2026-01-15 11:13:41,408 - INFO - Progress: 9/10
2026-01-15 11:13:45,088 - INFO - 🔍 Visiting detail page: 이미지수16
2026-01-15 11:13:51,431 - INFO - Firebase Firestore initialized successfully
2026-01-15 11:13:51,531 - INFO - Successfully saved shop to Firebase: 김서희건강연구소
2026-01-15 11:13:51,531 - INFO - ✅ Firebase Saved: 김서희건강연구소
2026-01-15 11:13:51,532 - INFO - Progress: 10/10
2026-01-15 11:13:56,438 - INFO - ✅ Finished. Total saved: 10

--- NEW ENGINE RUN: 2026-01-15 12:31:26 (Target: 서울 강남, Count: 10) ---
2026-01-15 12:31:59,044 - INFO - 🔍 Searching: 서울 강남 피부관리샵
2026-01-15 12:32:04,414 - INFO - 🗺️ Map view detected. Switching to list view...
2026-01-15 12:32:13,564 - INFO - Found 100 list items. Extracting basic info...
2026-01-15 12:32:14,154 - INFO - 🔍 Visiting detail page: 정앤정피부관리실피부,체형관리
2026-01-15 12:32:19,956 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:32:21,545 - INFO - Successfully saved shop to Firebase: 정앤정피부관리실
2026-01-15 12:32:21,545 - INFO - ✅ Firebase Saved: 정앤정피부관리실
2026-01-15 12:32:21,545 - INFO - Progress: 1/10
2026-01-15 12:32:25,366 - INFO - 🔍 Visiting detail page: 이미지수9
2026-01-15 12:32:30,521 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:32:30,644 - INFO - Successfully saved shop to Firebase: 디유에스테틱 프리베 청담점
2026-01-15 12:32:30,644 - INFO - ✅ Firebase Saved: 디유에스테틱 프리베 청담점
2026-01-15 12:32:30,644 - INFO - Progress: 2/10
2026-01-15 12:32:37,189 - INFO - 🔍 Visiting detail page: 이미지수24
2026-01-15 12:32:42,432 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:32:42,555 - INFO - Successfully saved shop to Firebase: 벨라인 에스테틱 강남선릉점
2026-01-15 12:32:42,555 - INFO - ✅ Firebase Saved: 벨라인 에스테틱 강남선릉점
2026-01-15 12:32:42,555 - INFO - Progress: 3/10
2026-01-15 12:32:48,131 - INFO - 🔍 Visiting detail page: 이미지수37
2026-01-15 12:32:52,848 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:32:52,958 - INFO - Successfully saved shop to Firebase: 프롬미 강남본점
2026-01-15 12:32:52,958 - INFO - ✅ Firebase Saved: 프롬미 강남본점
2026-01-15 12:32:52,958 - INFO - Progress: 4/10
2026-01-15 12:32:58,198 - INFO - 🔍 Visiting detail page: 이미지수10
2026-01-15 12:33:05,030 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:33:05,130 - INFO - Successfully saved shop to Firebase: 미니쉬 발몽스파 압구정로데오점
2026-01-15 12:33:05,131 - INFO - ✅ Firebase Saved: 미니쉬 발몽스파 압구정로데오점
2026-01-15 12:33:05,131 - INFO - Progress: 5/10
2026-01-15 12:33:09,241 - INFO - 🔍 Visiting detail page: 이미지수81
2026-01-15 12:33:15,761 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:33:16,159 - INFO - Successfully saved shop to Firebase: 온에스테틱 선릉점
